Mode,Weather,Platform,Case,Scenario,Objective,UnservedCount,ServedCustomers,TotalCustomers
Dynamic,Cos,Multi,R201_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",4059.4739,0,50,50
Dynamic,Cos,Multi,R201_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",4544.5777,0,50,50
Dynamic,Cos,Multi,R201_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",6232.4283,0,50,50
Dynamic,Cos,Multi,C101_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",6123.2271,0,100,100
Dynamic,Cos,Multi,C101_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",6121.084,0,100,100
Dynamic,Cos,Multi,C101_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",6734.8061,0,100,100
Dynamic,Cos,Multi,C201_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",6357.239,0,100,100
Dynamic,Cos,Multi,C201_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",6335.1317,0,100,100
Dynamic,Cos,Multi,C201_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",6325.2203,0,100,100
Dynamic,Cos,Multi,R102_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",11132.5301,0,100,100
Dynamic,Cos,Multi,R102_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",11007.0361,0,100,100
Dynamic,Cos,Multi,R102_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",11006.7811,0,100,100
Dynamic,Cos,Multi,R202_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",5944.1337,0,100,100
Dynamic,Cos,Multi,R202_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",6436.1539,0,100,100
Dynamic,Cos,Multi,R202_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",7623.2994,0,100,100
Dynamic,Real,Single,C101_25.txt,"固定00:00调度/温度参考06:00(-18.0°C,η=0.41)",1809.8302,0,25,25
Dynamic,Real,Single,C101_25.txt,"固定00:00调度/温度参考08:00(-18.1°C,η=0.41)",1809.0817,0,25,25
Dynamic,Real,Single,C101_25.txt,"固定00:00调度/温度参考14:00(-3.1°C,η=0.69)",1808.072,0,25,25
Dynamic,Real,Single,C201_25.txt,"固定00:00调度/温度参考06:00(-18.0°C,η=0.41)",1909.0793,0,25,25
Dynamic,Real,Single,C201_25.txt,"固定00:00调度/温度参考08:00(-18.1°C,η=0.41)",1912.3146,0,25,25
Dynamic,Real,Single,C201_25.txt,"固定00:00调度/温度参考14:00(-3.1°C,η=0.69)",1898.628,0,25,25
Dynamic,Real,Single,R102_25.txt,"固定00:00调度/温度参考06:00(-18.0°C,η=0.41)",4382.6498,0,25,25
Dynamic,Real,Single,R102_25.txt,"固定00:00调度/温度参考08:00(-18.1°C,η=0.41)",4365.4864,0,25,25
Dynamic,Real,Single,R102_25.txt,"固定00:00调度/温度参考14:00(-3.1°C,η=0.69)",4313.1772,0,25,25
