weight_field,baseline_value,multiplier,override_value,instance,rep,fitness,runtime_sec
route_open_penalty,525,1.5000,787.5,R102_25.txt,5,4300.8346,1.3091
route_open_penalty,525,1.5000,787.5,R201_50.txt,1,4114.8365,87.5441
route_open_penalty,525,1.5000,787.5,R201_50.txt,2,4090.4469,5.7440
route_open_penalty,525,1.5000,787.5,R201_50.txt,3,4049.7081,5.7502
route_open_penalty,525,1.5000,787.5,R201_50.txt,4,4110.9207,6.9437
route_open_penalty,525,1.5000,787.5,R201_50.txt,5,4091.8144,5.1843
route_open_penalty,525,1.5000,787.5,R202_100.txt,1,6057.1000,10.9887
route_open_penalty,525,1.5000,787.5,R202_100.txt,2,6048.0411,17.3154
route_open_penalty,525,1.5000,787.5,R202_100.txt,3,6029.8211,10.1105
route_open_penalty,525,1.5000,787.5,R202_100.txt,4,6089.9869,4.2845
route_open_penalty,525,1.5000,787.5,R202_100.txt,5,6203.7881,6.2501
range_margin_weight,0.42,0.5000,0.21,C102_50.txt,1,3053.8802,7.9907
range_margin_weight,0.42,0.5000,0.21,C102_50.txt,2,3015.3524,5.2189
range_margin_weight,0.42,0.5000,0.21,C102_50.txt,3,3058.2228,15.0573
range_margin_weight,0.42,0.5000,0.21,C102_50.txt,4,3016.9084,6.6176
range_margin_weight,0.42,0.5000,0.21,C102_50.txt,5,3021.2747,6.6193
range_margin_weight,0.42,0.5000,0.21,C201_100.txt,1,6979.9002,7.0737
range_margin_weight,0.42,0.5000,0.21,C201_100.txt,2,6484.7449,9.0003
range_margin_weight,0.42,0.5000,0.21,C201_100.txt,3,6415.8251,8.6482
range_margin_weight,0.42,0.5000,0.21,C201_100.txt,4,6388.3843,3.6688
range_margin_weight,0.42,0.5000,0.21,C201_100.txt,5,6980.6157,6.5309
range_margin_weight,0.42,0.5000,0.21,R102_25.txt,1,4318.4516,2.6683
range_margin_weight,0.42,0.5000,0.21,R102_25.txt,2,4285.2366,2.2010
range_margin_weight,0.42,0.5000,0.21,R102_25.txt,3,4313.5017,2.1628
range_margin_weight,0.42,0.5000,0.21,R102_25.txt,4,4286.2881,1.7686
range_margin_weight,0.42,0.5000,0.21,R102_25.txt,5,4300.8346,1.3953
range_margin_weight,0.42,0.5000,0.21,R201_50.txt,1,4048.1126,8.0847
range_margin_weight,0.42,0.5000,0.21,R201_50.txt,2,4063.5860,5.8295
range_margin_weight,0.42,0.5000,0.21,R201_50.txt,3,4037.8533,28.2121
range_margin_weight,0.42,0.5000,0.21,R201_50.txt,4,4110.9207,7.1895
range_margin_weight,0.42,0.5000,0.21,R201_50.txt,5,4091.8144,5.2679
range_margin_weight,0.42,0.5000,0.21,R202_100.txt,1,6133.2177,8.7644
range_margin_weight,0.42,0.5000,0.21,R202_100.txt,2,6108.7312,16.3500
range_margin_weight,0.42,0.5000,0.21,R202_100.txt,3,6094.6794,5.2197
range_margin_weight,0.42,0.5000,0.21,R202_100.txt,4,5551.3574,8.2079
range_margin_weight,0.42,0.5000,0.21,R202_100.txt,5,6085.5301,12.3025
range_margin_weight,0.42,0.7000,0.294,C102_50.txt,1,3053.8802,8.0302
range_margin_weight,0.42,0.7000,0.294,C102_50.txt,2,3015.3524,5.3743
range_margin_weight,0.42,0.7000,0.294,C102_50.txt,3,3058.2228,15.7898
range_margin_weight,0.42,0.7000,0.294,C102_50.txt,4,3016.9084,6.4655
range_margin_weight,0.42,0.7000,0.294,C102_50.txt,5,3026.4151,5.5526
range_margin_weight,0.42,0.7000,0.294,C201_100.txt,1,6990.8317,5.1378
range_margin_weight,0.42,0.7000,0.294,C201_100.txt,2,6988.2342,8.3173
range_margin_weight,0.42,0.7000,0.294,C201_100.txt,3,6415.8251,8.8458
range_margin_weight,0.42,0.7000,0.294,C201_100.txt,4,6388.3843,3.7497
range_margin_weight,0.42,0.7000,0.294,C201_100.txt,5,6980.6157,7.1377
range_margin_weight,0.42,0.7000,0.294,R102_25.txt,1,4318.4516,2.6078
range_margin_weight,0.42,0.7000,0.294,R102_25.txt,2,4315.0746,3.5253
range_margin_weight,0.42,0.7000,0.294,R102_25.txt,3,4321.8461,2.4784
range_margin_weight,0.42,0.7000,0.294,R102_25.txt,4,4282.0217,1.6993
range_margin_weight,0.42,0.7000,0.294,R102_25.txt,5,4300.8346,1.3549
range_margin_weight,0.42,0.7000,0.294,R201_50.txt,1,4048.1126,8.7176
range_margin_weight,0.42,0.7000,0.294,R201_50.txt,2,4063.5860,6.3704
range_margin_weight,0.42,0.7000,0.294,R201_50.txt,3,4049.7081,6.3906
range_margin_weight,0.42,0.7000,0.294,R201_50.txt,4,4110.9207,7.7352
range_margin_weight,0.42,0.7000,0.294,R201_50.txt,5,4091.8144,5.9222
range_margin_weight,0.42,0.7000,0.294,R202_100.txt,1,6133.2177,9.0612
range_margin_weight,0.42,0.7000,0.294,R202_100.txt,2,6048.0411,16.4228
range_margin_weight,0.42,0.7000,0.294,R202_100.txt,3,6079.5574,5.5325
range_margin_weight,0.42,0.7000,0.294,R202_100.txt,4,6089.9869,5.1668
range_margin_weight,0.42,0.7000,0.294,R202_100.txt,5,6145.8578,5.6080
range_margin_weight,0.42,0.8500,0.357,C102_50.txt,1,3053.8802,8.3955
range_margin_weight,0.42,0.8500,0.357,C102_50.txt,2,3015.3524,5.3113
range_margin_weight,0.42,0.8500,0.357,C102_50.txt,3,3058.2228,16.4818
range_margin_weight,0.42,0.8500,0.357,C102_50.txt,4,3016.9084,6.6301
range_margin_weight,0.42,0.8500,0.357,C102_50.txt,5,3058.2228,11.0791
range_margin_weight,0.42,0.8500,0.357,C201_100.txt,1,6464.9990,8.8415
range_margin_weight,0.42,0.8500,0.357,C201_100.txt,2,6988.0886,6.6013
range_margin_weight,0.42,0.8500,0.357,C201_100.txt,3,6415.8251,9.2593
range_margin_weight,0.42,0.8500,0.357,C201_100.txt,4,6388.3843,4.2154
range_margin_weight,0.42,0.8500,0.357,C201_100.txt,5,6980.6157,7.4187
range_margin_weight,0.42,0.8500,0.357,R102_25.txt,1,4318.4516,3.1423
range_margin_weight,0.42,0.8500,0.357,R102_25.txt,2,4315.0746,3.8090
range_margin_weight,0.42,0.8500,0.357,R102_25.txt,3,4321.8461,2.8209
range_margin_weight,0.42,0.8500,0.357,R102_25.txt,4,4282.0217,1.9420
range_margin_weight,0.42,0.8500,0.357,R102_25.txt,5,4300.8346,1.5929
range_margin_weight,0.42,0.8500,0.357,R201_50.txt,1,4048.1126,9.1094
range_margin_weight,0.42,0.8500,0.357,R201_50.txt,2,4090.4469,6.5537
range_margin_weight,0.42,0.8500,0.357,R201_50.txt,3,4049.7081,6.6892
range_margin_weight,0.42,0.8500,0.357,R201_50.txt,4,4110.9207,8.1011
range_margin_weight,0.42,0.8500,0.357,R201_50.txt,5,4091.8144,5.8260
range_margin_weight,0.42,0.8500,0.357,R202_100.txt,1,6026.2340,13.4940
range_margin_weight,0.42,0.8500,0.357,R202_100.txt,2,6048.0411,18.9460
range_margin_weight,0.42,0.8500,0.357,R202_100.txt,3,6079.5574,5.7986
range_margin_weight,0.42,0.8500,0.357,R202_100.txt,4,6089.9869,4.8837
range_margin_weight,0.42,0.8500,0.357,R202_100.txt,5,6145.8578,6.2604
range_margin_weight,0.42,1.0000,0.42,C102_50.txt,1,3053.8802,11.1458
range_margin_weight,0.42,1.0000,0.42,C102_50.txt,2,3015.3524,4.8563
range_margin_weight,0.42,1.0000,0.42,C102_50.txt,3,3058.2228,16.7342
range_margin_weight,0.42,1.0000,0.42,C102_50.txt,4,3016.9084,7.9276
range_margin_weight,0.42,1.0000,0.42,C102_50.txt,5,3058.2228,15.0350
range_margin_weight,0.42,1.0000,0.42,C201_100.txt,1,6533.7972,6.4151
range_margin_weight,0.42,1.0000,0.42,C201_100.txt,2,6984.6355,18.6929
range_margin_weight,0.42,1.0000,0.42,C201_100.txt,3,6415.8251,9.7856
range_margin_weight,0.42,1.0000,0.42,C201_100.txt,4,6388.3843,5.0273
range_margin_weight,0.42,1.0000,0.42,C201_100.txt,5,6995.7096,6.0037
